M0,GammaTotZp,WW,ZH,tautau,vv,BRbb,tt,BRll,BRqq,Zp_dijet,ll,gH_mod_X_sign_gF,gF_mod,GammaTotWp,WH,WZ,BRtauvt,BRud,BRus,BRcd,BRcs,tb,Wp_dijet,lv,GoM
1000.0,56.04037,0.35138437,0.30856776,0.014760494,0.04169392,0.04253699,0.03965116,0.029521251,0.17188406,0.171884054,0.029521252,-2.9,0.56,56.09817,0.3015959,0.35769418,0.02862132,0.081493095,0.004371273,0.00437126,0.08149285,0.082010806,0.17172847800000002,0.057242912,0.05609817
1000.0,59.534065,0.36663723,0.31626958,0.013788977,0.038806185,0.03963968,0.037003968,0.027578197,0.16027619,0.160276195,0.027578198,-3.0,0.56,59.604633,0.30906904,0.37315425,0.02668436,0.07597802,0.0040754452,0.0040754327,0.07597779,0.07646053,0.1601066879,0.053368974,0.059604633
1000.0,63.420937,0.38208747,0.32314813,0.01284301,0.03600012,0.03682235,0.034427773,0.025686247,0.1489849,0.148984896,0.025686248,-3.1,0.56,63.50706,0.31573042,0.38879877,0.024800204,0.07061328,0.0037876822,0.0037876705,0.07061307,0.07106155,0.1488017027,0.049600642,0.06350706
1000.0,67.78296,0.3978624,0.3291451,0.011919691,0.033267006,0.03407627,0.03191464,0.023839593,0.13797529,0.13797528999999997,0.023839593,-3.2,0.56,67.88818,0.32152244,0.40475374,0.022963053,0.06538239,0.003507098,0.0035070872,0.06538219,0.06579727,0.1377787652,0.045926326,0.06788818
1000.0,72.73467,0.41413784,0.33418015,0.011014972,0.030594861,0.0313894,0.029453546,0.022030137,0.12719908,0.127199082,0.022030138,-3.3,0.56,72.863625,0.3263659,0.42119315,0.021164874,0.060262457,0.0032324658,0.003232456,0.060262274,0.060644656,0.1269896528,0.042329948,0.072863625
1000.0,78.44404,0.43116686,0.33813554,0.010123083,0.027966805,0.028744701,0.027028823,0.020246344,0.116587855,0.11658785399999999,0.020246344,-3.4,0.56,78.60291,0.33014473,0.4383673,0.019394279,0.055221062,0.0029620465,0.0029620377,0.0552209,0.05557108,0.11636604620000002,0.03878874,0.07860291
1000.0,85.17378,0.4493366,0.3408268,0.009235344,0.025357665,0.026116693,0.024616966,0.018470848,0.10603908,0.106039078,0.018470848,-3.5,0.56,85.37129,0.33267733,0.45665908,0.017634202,0.050209623,0.0026932338,0.0026932256,0.05020947,0.050527643,0.1058055524,0.035268572,0.08537129
1000.0,93.375374,0.4692971,0.34193766,0.008337419,0.022726137,0.023463473,0.022179209,0.01667498,0.095384,0.095384002,0.01667498,-3.6,0.56,93.62454,0.33365244,0.47671098,0.015856551,0.045148138,0.002421737,0.0024217295,0.045148004,0.04543384,0.0951396085,0.031713252,0.09362453999999999
1000.0,103.94924,0.49231523,0.34084368,0.007401651,0.019992905,0.020704443,0.019640869,0.014803428,0.084297776,0.084297774,0.014803428,-3.7,0.56,104.27173,0.33245596,0.49977466,0.014007242,0.03988263,0.0021392961,0.0021392896,0.039882507,0.040134706,0.0840437227,0.028014617,0.10427173
1000.0,119.282486,0.5216727,0.33592448,0.0063564368,0.016953101,0.017631255,0.016808689,0.012712981,0.071940325,0.07194033,0.0127129806,-3.8,0.56,119.722885,0.32749566,0.52909136,0.011946411,0.03401485,0.0018245497,0.0018245442,0.03401475,0.03422945,0.0716786939,0.023892936,0.119722885
