mass,Wprime_cH3,Wprime_cH3_Up,Wprime_cH3_Down,Zprime_cH3,Zprime_cH3_Up,Zprime_cH3_Down,Zprime_cH1,Zprime_cH1_Up,Zprime_cH1_Down,Wprime_cH1,Wprime_cH1_Up,Wprime_cH1_Down,WH,WW,ZH,WZ
2800.0,3.7767655836200004e-05,4.7964922911974e-05,3.0554033571485794e-05,1.8540001555700002e-05,2.3675581986628892e-05,1.4924701252338492e-05,1.99506254108e-06,2.547694864959159e-06,1.6060253455693991e-06,4.06464762764e-06,5.158037839475159e-06,3.2882999307607596e-06,0.49327769186332504,0.49010994886941306,0.49081168125683106,0.492539620503928
2900.0,2.8947634578000003e-05,3.6937181721528005e-05,2.330284583529e-05,1.3924859959800001e-05,1.7893445048343e-05,1.1153812827799801e-05,1.50168543942e-06,1.93116747509412e-06,1.201348351536e-06,3.121797454409999e-06,3.98029175437275e-06,2.51616874825446e-06,0.485617668070818,0.48911708185949204,0.49111483712917003,0.49010226395009904
3000.0,2.2104763234100002e-05,2.8338306466116203e-05,1.7728020113748202e-05,1.0586116482600002e-05,1.36666763790366e-05,8.4371348366322e-06,1.1440283258199998e-06,1.479228625285259e-06,9.117905756785399e-07,2.38904785731e-06,3.062759353071419e-06,1.91601638156262e-06,0.48889769889965,0.49334442798473305,0.49448076348505204,0.48973485249365706
3100.0,1.7011511057000003e-05,2.1910826241416003e-05,1.3592197334542991e-05,8.13651149062e-06,1.056119191482476e-05,6.460390123552281e-06,8.807827016099999e-07,1.14413672939139e-06,6.984606823767299e-07,1.8409896583299998e-06,2.3711946799290403e-06,1.47095073700567e-06,0.487183616671479,0.48876981713319306,0.490472847854912,0.48924772386665305
3200.0,1.3049602510700001e-05,1.69122848538672e-05,1.03744339960065e-05,6.217391369089999e-06,8.11369573666245e-06,4.9179565729501895e-06,6.74065160672e-07,8.796550346769599e-07,5.3251147693088e-07,1.41554138005e-06,1.8331260871647491e-06,1.1267709385198e-06,0.49161402824933204,0.490605388461722,0.49297904622265004,0.48984791951154905
3300.0,1.00888246553e-05,1.3135649701200602e-05,7.990349126997599e-06,4.77381459882e-06,6.26324475365184e-06,3.75699208927134e-06,5.18408712937e-07,6.81189048799218e-07,4.07469248368482e-07,1.0957279145e-06,1.425542016764499e-06,8.678165082839999e-07,0.490085168857857,0.488224818919581,0.489768002859271,0.48917253353409906
3400.0,7.78851287977e-06,1.0179586333859381e-05,6.145136662138529e-06,3.6553332096800002e-06,4.82138450356792e-06,2.86212590317944e-06,3.9741518736500003e-07,5.237932169470701e-07,3.1157350689416e-07,8.475812210579998e-07,1.11033139958598e-06,6.678940021937039e-07,0.48974657494398904,0.48916097366318306,0.49167723381577205,0.48903867818425306
3500.0,6.0480360706e-06,7.9471193967684e-06,4.7537563514916e-06,2.814585008929999e-06,3.732139721841179e-06,2.19256172195647e-06,3.0643561850699996e-07,4.0633363014028194e-07,2.3901978243546e-07,6.58558632165e-07,8.660046012969748e-07,5.169685262495251e-07,0.490161367923765,0.489499232272091,0.491457229201179,0.49076875499678
3600.0,4.689502889809999e-06,6.190143814549199e-06,3.66719125983142e-06,2.1775330054199997e-06,2.90047396321944e-06,1.69194314521134e-06,2.37364447786e-07,3.16169444450952e-07,1.84432175929722e-07,5.10973443295e-07,6.744849451494e-07,3.9958123265669e-07,0.488675102936496,0.487436097019513,0.489963855517454,0.49337202022543303
3700.0,3.66708558433e-06,4.86988965599024e-06,2.85665967019307e-06,1.6830079481e-06,2.2569136584021e-06,1.300965143881299e-06,1.8365345947199996e-07,2.4627928915195196e-07,1.4178047071238398e-07,4.00391464571e-07,5.31319473485717e-07,3.11904950900809e-07,0.487273124588308,0.48907328104916004,0.49010783820123405,0.48902141360528306
3800.0,2.8685945077e-06,3.8295736677795e-06,2.2231607434675e-06,1.30208521349e-06,1.755210867784519e-06,1.00130352917381e-06,1.4268930748800002e-07,1.92059807878848e-07,1.0987076676576e-07,3.13341526941e-07,4.183109384662349e-07,2.4283968337927503e-07,0.48732768200479304,0.48602100059832604,0.48882429404085403,0.48828510377690404
3900.0,2.22668386163e-06,2.9837563745842e-06,1.72122662503999e-06,1.00942510275e-06,1.3667615891235e-06,7.732196287065e-07,1.103364323799999e-07,1.495058658749e-07,8.451770720308e-08,2.43431597823e-07,3.2619834108282e-07,1.88172625117179e-07,0.48843289475696006,0.487599597336192,0.489684130930752,0.490076066816697
4000.0,1.7397718206499999e-06,2.345212414236199e-06,1.33788453007985e-06,7.82586347571e-07,1.0643174326965601e-06,5.97113383196673e-07,8.561627968430001e-08,1.1652375665033229e-07,6.532522139912091e-08,1.90356778677e-07,2.56600937656596e-07,1.46384362802613e-07,0.49207598831529104,0.48986010785155304,0.48880890590337406,0.49275891645109804
4100.0,1.36005372468e-06,1.8401526894920402e-06,1.04180115310488e-06,6.04799778209e-07,8.27970896368121e-07,4.5904303166063096e-07,6.63019594011e-08,9.07673824201059e-08,5.03231871854349e-08,1.490542881849999e-07,2.0167045191430489e-07,1.1432463903789489e-07,0.48921772656077206,0.489879941609404,0.49033241692493,0.49042534025771406
4200.0,1.06885907434e-06,1.4547172001767401e-06,8.144706146470799e-07,4.6900336306e-07,6.458176309336201e-07,3.5456654247335995e-07,5.13828466873e-08,7.07027970417248e-08,3.88454320955988e-08,1.1720927073499988e-07,1.59521817470335e-07,8.931346430006999e-08,0.488954496863758,0.490630660333402,0.491603747720022,0.48912513183038303
4300.0,8.352387634259999e-07,1.142606628366768e-06,6.339462214403339e-07,3.6380734870799994e-07,5.02781755914456e-07,2.7394693357712387e-07,3.98845198405e-08,5.5200175459252004e-08,2.9993158920056e-08,9.158205413099999e-08,1.252842500512079e-07,6.951077908542899e-08,0.48917880719204604,0.489663660941672,0.49166945166749604,0.49027072417238504
4400.0,6.567250221930001e-07,9.02996905515375e-07,4.964841167779081e-07,2.83233748372e-07,3.9369491023707997e-07,2.12142077530628e-07,3.10711145977e-08,4.32509915199984e-08,2.3241193719079602e-08,7.20508239141e-08,9.90698828818875e-08,5.44704228790596e-08,0.487572495241448,0.48726929162434,0.48887850328756505,0.48993194084893604
4500.0,5.09013471227e-07,7.02947603764487e-07,3.83287143833931e-07,2.196656868829999e-07,3.0687296457555095e-07,1.6387060241471788e-07,2.411154226059999e-08,3.3707936080318793e-08,1.79872105264076e-08,5.587097638309999e-08,7.71578183850611e-08,4.2070845216474305e-08,0.49453225607772905,0.48939217045779904,0.49146586609533205,0.49399530465962105
4600.0,4.02974019882e-07,5.59730913616098e-07,3.01827540891618e-07,1.70514590738e-07,2.3957299998689e-07,1.2669234091833398e-07,1.8724578188200002e-08,2.6326756932609202e-08,1.3893637015644401e-08,4.42582098647e-08,6.14303952922036e-08,3.3193657398525004e-08,0.49233803325108105,0.490318121333475,0.49400311756177406,0.490530459012435
4700.0,3.17681355123e-07,4.4348317175170803e-07,2.3730797227688096e-07,1.32807141841e-07,1.8765649142133299e-07,9.8144477820499e-08,1.45913050462e-08,2.06175140302806e-08,1.0782974429141801e-08,3.49124193215e-08,4.8702824953492495e-08,2.6079577233160493e-08,0.48922418818112906,0.488715709624419,0.489058379453071,0.486932739992927
4800.0,2.473984078989999e-07,3.470999662822969e-07,1.838170170689569e-07,1.02977399869e-07,1.46330885213849e-07,7.5688388903715e-08,1.1363496291999999e-08,1.6147528230932e-08,8.35216977462e-09,2.72155281579e-08,3.81833860055337e-08,2.02211374213197e-08,0.487956725401455,0.48990203868145904,0.49131005603710903,0.49126366104047103
4900.0,1.9496480640599997e-07,2.74510447419648e-07,1.44468921546846e-07,8.00177300813e-08,1.141853008260151e-07,5.86529961495929e-08,8.799998964280001e-09,1.254879852306328e-08,6.45039924081724e-09,2.14473084508e-08,3.0197810298726394e-08,1.58924555620428e-08,0.489105662095735,0.49136369419490905,0.49261369434202906,0.491436956957965
5000.0,1.527346741789999e-07,2.161195639632849e-07,1.127181895441019e-07,6.213895217830001e-08,8.92936742802171e-08,4.5299296137980704e-08,6.836268724449999e-09,9.816881888310199e-09,4.983639900124049e-09,1.68032505289e-08,2.3776599498393498e-08,1.2400798890328199e-08,0.49091692025971406,0.491057349456385,0.49208129984250204,0.489964723542032
5100.0,1.19279409755e-07,1.6961532067160999e-07,8.767036616992501e-08,4.82003983264e-08,6.964957558164802e-08,3.494528878664e-08,5.30491238542e-09,7.660293484546479e-09,3.851366391814921e-09,1.313008136939999e-08,1.8670975707286802e-08,9.650609806509e-09,0.49702662279070203,0.49067728378588704,0.49161980642089703,0.49024829465273506
5200.0,9.395615397220001e-08,1.3463916864216262e-07,6.858799239970601e-08,3.76533951109e-08,5.4635076305915905e-08,2.72234046651807e-08,4.14562333735e-09,6.01529946249485e-09,2.99728567290405e-09,1.03455206541e-08,1.4825131097325302e-08,7.552230077493e-09,0.49103376909182006,0.487743298283466,0.48991426251914905,0.489873846802627
5300.0,7.39487545919e-08,1.0633830910315209e-07,5.383469334290319e-08,2.92691041467e-08,4.2791430262475394e-08,2.10152167773306e-08,3.22356752644e-09,4.71285572365528e-09,2.31452148398392e-09,8.145413020430002e-09,1.1721249336398772e-08,5.929860678873041e-09,0.48861856237584506,0.484866529762484,0.48517674507263303,0.48665426664770106
5400.0,5.77917981942e-08,8.37403155833958e-08,4.17834700944066e-08,2.247518311929999e-08,3.3016044002251695e-08,1.6069755930299498e-08,2.47606095599e-09,3.6348574833933206e-09,1.7728596444888402e-09,6.36799649208e-09,9.214490924039761e-09,4.610429460265919e-09,0.48979298337854904,0.48989100896953003,0.49191034536264405,0.48869373654185405
5500.0,4.5085849597500005e-08,6.550973946516751e-08,3.2551983409394996e-08,1.725879387949999e-08,2.549123856002149e-08,1.228826124220399e-08,1.9020218505000003e-09,2.8092862731885e-09,1.354239557555999e-09,4.9691932910700006e-09,7.225207045215779e-09,3.5877575561525393e-09,0.492836534332651,0.492633667564693,0.49336972640630505,0.49022041553055806
5600.0,3.5261342654900004e-08,5.151682161880891e-08,2.5317644026218202e-08,1.33718798372e-08,1.9897357197753603e-08,9.4672909247376e-09,1.47409781487e-09,2.1919834507116905e-09,1.0436612529279601e-09,3.89334531319e-09,5.688177502570592e-09,2.7993152801836104e-09,0.489810136681019,0.492301116438463,0.49494680247141004,0.489296439631537
5700.0,2.7515151280000002e-08,4.047478753288e-08,1.964581801392e-08,1.0380181257000001e-08,1.5518370979215002e-08,7.318027786185001e-09,1.1446554377100001e-09,1.71125987937645e-09,8.0698208358555e-10,3.0350831660900005e-09,4.470677503650569e-09,2.1670493805882603e-09,0.4919140327622,0.48521151580001604,0.49228788108265903,0.49356143407754605
5800.0,2.1623658551099993e-08,3.19813909970769e-08,1.5374421229832088e-08,8.009001339839999e-09,1.204553801511935e-08,5.622318940567679e-09,8.833751039680002e-10,1.3285961563678723e-09,6.20129322985536e-10,2.3852364006300002e-09,3.52776463653177e-09,1.6959030808479302e-09,0.487582698173155,0.48790145665641504,0.48756185007405606,0.489678926454209
5900.0,1.6799796565e-08,2.4981297492155e-08,1.1894255968019991e-08,6.15173396435e-09,9.3014217540972e-09,4.2939103071163e-09,6.78686534398e-10,1.0261740400097762e-09,4.744018875442021e-10,1.8535969765099991e-09,2.7544451070938602e-09,1.3123466593690793e-09,0.489157034398684,0.48711737045622105,0.48844346130138405,0.49082945836100506
6000.0,1.30723476879e-08,1.95300874457226e-08,9.216005119969503e-09,4.74557716921e-09,7.222768451537621e-09,3.29817613260095e-09,5.236989560219999e-10,7.965461121094619e-10,3.639707744352899e-10,1.4423568362100002e-09,2.15488111329774e-09,1.0168615695280501e-09,0.492804541952135,0.48615716543323506,0.48959425458398004,0.48809003592333006
6100.0,1.0193460267700002e-08,1.53105773220854e-08,7.1558091079253995e-09,3.62988284403e-09,5.553720751365901e-09,2.5118789280687593e-09,4.0065948417300004e-10,6.130090107846902e-10,2.77256363047716e-10,1.125195375139999e-09,1.6889182580851392e-09,7.8988715334828e-10,0.48969273441196104,0.49019181563962805,0.490940581142133,0.48782639186701604
6200.0,7.941544075e-09,1.2015556185475e-08,5.543197764350001e-09,2.78204666945e-09,4.29269801096135e-09,1.91126606191215e-09,3.071331692619999e-10,4.742136133405281e-10,2.11000487282994e-10,8.769081838489999e-10,1.326762082163536e-09,6.12081912326602e-10,0.486253872245106,0.489038681041551,0.48871308937641006,0.48944690892964204
6300.0,6.1197505583999995e-09,9.3081405993264e-09,4.253226638088e-09,2.1267865278400005e-09,3.29864590467984e-09,1.454721985042559e-09,2.3490164655300004e-10,3.648022570968089e-10,1.60437824595699e-10,6.758553536670001e-10,1.0273001375738401e-09,4.69719470798565e-10,0.49389266237057305,0.48999230822347706,0.492546568735502,0.49478042629334806
6400.0,4.756650847430001e-09,7.2776757965679e-09,3.28684573557413e-09,1.6116178629799993e-09,2.5141238662488e-09,1.095900146826399e-09,1.7799305742200002e-10,2.7766916957832003e-10,1.2121327210438201e-10,5.254969166880002e-10,8.040102825326401e-10,3.631183694314081e-10,0.49172505450382703,0.49046856806904704,0.49181693526648707,0.49210564665127604
6500.0,3.667285924229999e-09,5.64028575146574e-09,2.52676000179447e-09,1.2305469728200002e-09,1.93318929430022e-09,8.330803005991401e-10,1.3592206745700001e-10,2.1339764590749001e-10,9.2019239668389e-11,4.05654085943e-10,6.234903300943909e-10,2.7949566521472703e-10,0.48957968594924006,0.48983951793599007,0.491678807204298,0.492044840460565
6600.0,2.8401222485200004e-09,4.39082899621192e-09,1.94832386248472e-09,9.39647553921e-10,1.4846431351951803e-09,6.33322451342754e-10,1.0381511857900002e-10,1.64131702473399e-10,6.986757480366699e-11,3.13819823466e-10,4.85165447078436e-10,2.1496657907421e-10,0.49040879030598805,0.48634534826041403,0.488560825188517,0.49072744449072203
6700.0,2.18964507216e-09,3.4114670224252803e-09,1.49114829414096e-09,7.06312277504e-10,1.122330208953856e-09,4.732292259276799e-10,7.80489746488e-11,1.2409786969159193e-10,5.2292813014695985e-11,2.41984891792e-10,3.770124614119359e-10,1.64791711310352e-10,0.489699993757699,0.492895648829532,0.494561269685987,0.48763374905830004
6800.0,1.6883222539700001e-09,2.6405360052090806e-09,1.14637081044563e-09,5.377831911750001e-10,8.62066455453525e-10,3.5816360532255e-10,5.9431449348e-11,9.526861330484399e-11,3.9521913816419997e-11,1.86567145453e-10,2.9179101548849203e-10,1.26679091762587e-10,0.48883204906501104,0.488966705655108,0.49048105539733,0.487867248968172
6900.0,1.29804292606e-09,2.044417608544499e-09,8.761789750905001e-10,4.0531729696900005e-10,6.545874346049351e-10,2.68320050593478e-10,4.4801969753e-11,7.244478509060099e-11,2.9614102006732996e-11,1.4348396911300002e-10,2.2613073532208802e-10,9.6851679151275e-11,0.48723213075422206,0.49104983823901704,0.491719451654797,0.48799876692047806
7000.0,9.864564326609999e-10,1.565506358633007e-09,6.619122663155311e-10,3.0288855252000003e-10,4.918910092924801e-10,1.9930066755816e-10,3.34925492399e-11,5.4391899965597594e-11,2.2071589949094088e-11,1.09241160929e-10,1.7336572239432304e-10,7.3300818983359e-11,0.49175603356059705,0.490855440182942,0.493542605001462,0.49239681766985405
7100.0,7.53060574417e-10,1.201884676769532e-09,5.030444637105559e-10,2.2668000279900002e-10,3.708484845791641e-10,1.48248721830546e-10,2.50637446285e-11,4.1004286212226e-11,1.6416752731667498e-11,8.32704253702e-11,1.329828693162094e-10,5.55413737219234e-11,0.49405295838350205,0.49034971358689206,0.493541575026026,0.490450238706423
7200.0,5.72481552707e-10,9.194053736474419e-10,3.8012775099744795e-10,1.69514230816e-10,2.79359452384768e-10,1.10353764261216e-10,1.874447022119999e-11,3.089088692453759e-11,1.2202650114001189e-11,6.33115254415e-11,1.0167830985904891e-10,4.203885289315598e-11,0.495960250223534,0.491665002597763,0.49406571061826005,0.49580230109925905
7300.0,4.36549258318e-10,7.059001507002061e-10,2.88559059748198e-10,1.2588578804e-10,2.0897040814640004e-10,8.144810486187999e-11,1.39228675573e-11,2.31398058802326e-11,9.0080953095731e-12,4.82837853128e-11,7.812316463611038e-11,3.1867298306447986e-11,0.493333317710807,0.49300188856577004,0.49680857564240005,0.49105512018989306
7400.0,3.306299209409999e-10,5.379348813710069e-10,2.17223858058237e-10,9.36129729162e-11,1.566145036888026e-10,6.019314158511661e-11,1.0356644317399998e-11,1.73266659430102e-11,6.6593222960882e-12,3.6573983902e-11,5.9505871808554e-11,2.4029107423614002e-11,0.490786020141995,0.49224438377544205,0.49504451855957105,0.49379362249384
7500.0,2.49117762144e-10,4.085531299161601e-10,1.62673898680032e-10,6.92911627297e-11,1.1661702687408512e-10,4.4346344147007996e-11,7.66545439362e-12,1.290862519885608e-11,4.9058908119167996e-12,2.7564328528299985e-11,4.520549878641199e-11,1.7999506528979897e-11,0.49520524274646005,0.49155598696616404,0.493643273535022,0.49411687957558903
7600.0,1.8793749438900002e-10,3.10284803236239e-10,1.21971433858461e-10,5.119710140529999e-11,8.688148108479407e-11,3.25613564937708e-11,5.66439235221e-12,9.612473821700369e-12,3.6025535360055603e-12,2.07948421711e-11,3.43322844244861e-11,1.3516647411215001e-11,0.49339157833373704,0.49025558741822206,0.492197543292043,0.491948912900013
7700.0,1.4060374309500002e-10,2.334022135377e-10,9.097062178246499e-11,3.7485101593899996e-11,6.406203862397511e-11,2.3690584207344797e-11,4.14771251067e-12,7.08429296822436e-12,2.62135430674344e-12,1.55617199508e-11,2.5832455118327998e-11,1.00684328081676e-11,0.49621764332052604,0.49207846367112507,0.493042850665091,0.49261906937259203
7800.0,1.0602676515099989e-10,1.77382778097623e-10,6.8069183226942e-11,2.75388821615e-11,4.750457172858751e-11,1.7294417997421992e-11,3.04760251067e-12,5.25711433090575e-12,1.91389437670076e-12,1.1733789215199999e-11,1.9630629357029598e-11,7.544826465373599e-12,0.49148658581060906,0.48989328325227405,0.49153391715465905,0.48935598677380204
7900.0,7.93942661017e-11,1.337793383813645e-10,5.07329360389863e-11,1.994341757299999e-11,3.466165974187399e-11,1.242474914797899e-11,2.2071130322999994e-12,3.8425837892343e-12,1.375031419122899e-12,8.787138921909999e-12,1.481511622234026e-11,5.60619463217858e-12,0.488554925346151,0.492951645012132,0.49431088668036405,0.48957914950830206
8000.0,5.87437926244e-11,9.97469598762312e-11,3.7302308316494e-11,1.4409166682199998e-11,2.52448600272144e-11,8.919274176281799e-12,1.5949044765e-12,2.791082833875e-12,9.888407754300001e-13,6.5024594572200006e-12,1.104767861781678e-11,4.129061755334699e-12,0.49289042416732504,0.492819483286465,0.49683226279414106,0.49104496860101904
