M0,M+,g,gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRZh,BRuu,BRdd,BRll,BRnunu,BRbb,BRtt,total_widthV+GeV,BRWZ,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb,CX+(pb),CX0(pb),CX-(pb)
3700.,3700.,0.648065,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,93.5864,0.0204238,0.0203184,0.120017,0.119994,0.0400133,0.0399904,0.119994,0.119231,93.5864,0.0204555,0.,0.0202867,0.227792,0.0122187,0.0800037,0.239224,0.0147621,0.00833172,0.00356837
3750.,3750.,0.648074,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,94.8597,0.0204176,0.020315,0.120015,0.119993,0.0400125,0.0399902,0.119992,0.11925,94.8597,0.0204484,0.,0.0202842,0.22779,0.0122186,0.0800028,0.239242,0.0132272,0.00747294,0.00318895
3800.,3800.,0.648082,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,96.1329,0.0204117,0.0203117,0.120014,0.119992,0.0400118,0.0399901,0.119991,0.119269,96.1329,0.0204417,0.,0.0202817,0.227787,0.0122185,0.0800019,0.23926,0.0118505,0.00670402,0.00284823
3850.,3850.,0.64809,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,97.406,0.020406,0.0203086,0.120012,0.119991,0.0400111,0.0399899,0.11999,0.119286,97.406,0.0204352,0.,0.0202794,0.227785,0.0122183,0.080001,0.239276,0.0106173,0.00601523,0.00254647
3900.,3900.,0.648098,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,98.679,0.0204005,0.0203056,0.120011,0.11999,0.0400104,0.0399898,0.119989,0.119303,98.679,0.0204289,0.,0.0202771,0.227782,0.0122182,0.0800002,0.239292,0.00951181,0.00539811,0.00227704
3950.,3950.,0.648105,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,99.9519,0.0203952,0.0203027,0.120009,0.119989,0.0400097,0.0399896,0.119988,0.119319,99.9519,0.0204229,0.,0.0202749,0.22778,0.0122181,0.0799994,0.239308,0.00852057,0.00484445,0.00203634
4000.,4000.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00763136,0.00434841,0.00182118
4100.,4100.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00614440,0.00351863,0.00146298
4200.,4200.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00492295,0.00283602,0.00117036
4300.,4300.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00394180,0.00228571,0.000936333
4400.,4400.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00315287,0.00184267,0.00074889
